Variable,Data Type,N missing,N present,Missing (%),Severity
Birth_Order,str,79,370652,0.0213,Low (< 5%) — listwise deletion safe
Race_of_Mother,str,24,370707,0.0065,Low (< 5%) — listwise deletion safe
Registered_District,str,0,370731,0.0,Complete (0%)
Registered_Month,str,0,370731,0.0,Complete (0%)
Registered_Year,int64,0,370731,0.0,Complete (0%)
Birth_Month,str,0,370731,0.0,Complete (0%)
Birh_Year,int64,0,370731,0.0,Complete (0%)
Hospital or Not,str,0,370731,0.0,Complete (0%)
Gender,str,0,370731,0.0,Complete (0%)
BORDER,int64,0,370731,0.0,Complete (0%)
Age of Mother,float64,0,370731,0.0,Complete (0%)
Marital_Status,str,0,370731,0.0,Complete (0%)
District_of_Mother,str,0,370731,0.0,Complete (0%)
