Variable,Coefficient,Std_Error,z_value,P_value
age_group_20-24,1.7228672899336228,0.03159503885538914,54.52967783389052,0.0
age_group_25-29,2.838016255790922,0.031030813363869175,91.45800409780348,0.0
age_group_30-34,3.784323096489083,0.03124816973805413,121.1054320368889,0.0
age_group_35+,4.527416661238605,0.03189546195681171,141.94548012406867,0.0
marital_status_Unmarried,-0.07581344151469409,0.034038597605675305,-2.2272786438784893,0.025928656915907778
race_mother_Burgher,-0.5395798010983479,0.48417314043221205,-1.114435634774526,0.2650923429977158
race_mother_Indian Moor,-0.07433237125881331,0.5616849815140995,-0.1323381854690865,0.8947168053342801
race_mother_Indian Tamil,-0.012083860622297105,0.47389564376274573,-0.025498990719456473,0.979656953515921
race_mother_Malay,-0.06673012218079213,0.4805729725554283,-0.138855337257019,0.8895644646795724
race_mother_Other Foreigners,-1.0483944344703147,0.5075213511649784,-2.065714934088588,0.03885540432618599
race_mother_Other Srilankans,-0.11162966583200226,0.5573528052200142,-0.20028546512461998,0.8412573293952101
race_mother_Pakistan Moor,-0.611587333726489,0.5134039222705127,-1.1912400883533636,0.23355934606393935
race_mother_Sinhalese,-0.6388041817286946,0.4736021743289798,-1.3488202047082665,0.17739472331027617
race_mother_Srilankan Chetty,-0.060182920207314514,0.8651843682389956,-0.06956080393571072,0.9445432352630357
race_mother_Srilankan Moor,0.2494586218062369,0.47367822459937553,0.5266415234038305,0.5984425508958005
race_mother_Srilankan Tamil,-0.11116348362899424,0.4736710090422525,-0.23468500606309686,0.814453226185258
Gender _Male,-0.018883650258145694,0.00700386425519659,-2.6961759351824637,0.007014060944109589
Hospital or Not_Not In Hospital,0.1907787821974499,0.030294061200250938,6.297563767906747,3.0235998968883775e-10
multiple_birth_Triplets,0.031213517677241863,0.2922529732450875,0.10680307998463293,0.9149452039798014
Birth_Weight(grams),0.00018475217123730108,7.327259944103933e-06,25.21436016282821,2.7875470150194907e-140
1/2,2.789463694355107,0.4749942632479567,5.872626071904684,4.2894526848120424e-09
2/3,0.6281417101956013,0.002748757215795516,228.51843974652783,0.0
3/4,0.5081640749071182,0.00434711132381293,116.896954564623,0.0
4/5,0.2635865929073123,0.008985292742366448,29.335337252227546,3.676031812863358e-189
5/6,0.263536121581546,0.016627595852127464,15.849322050236573,1.4210561864827244e-56
6/7,0.08532151762179005,0.032354406726438724,2.6370910875664033,0.0083620374411113
7/8,0.2162997319233534,0.054344744433570076,3.980140751011422,6.887447662534651e-05
8/9,0.4455523184791355,0.09912474395728703,4.49486476021693,6.961417657138674e-06
