Variable,Coefficient,Std_Error,z_value,P_value
age_group_20-24,1.7398414828030735,0.03162386244660608,55.01672939985216,0.0
age_group_25-29,2.8691973739760517,0.031071208283875038,92.34263913273927,0.0
age_group_30-34,3.82611373876277,0.03130258405021074,122.22996454942867,0.0
age_group_35+,4.571409091061919,0.03195788994765365,143.04477230974229,0.0
marital_status_Unmarried,-0.06716855127900358,0.03414160642576452,-1.9673518123715381,0.04914266562782985
race_mother_Burgher,-0.4715042748614156,0.5868767938026427,-0.8034127091758462,0.421736231635351
race_mother_Indian Moor,-0.08604209987635804,0.6540133933914586,-0.13156014960210102,0.8953322074838249
race_mother_Indian Tamil,-0.05735226588593264,0.578409744854376,-0.09915508235493507,0.9210151381280379
race_mother_Malay,-0.024027791274284952,0.585864824159885,-0.041012517364803706,0.9672859168448524
race_mother_Other Foreigners,-0.9531285918641516,0.6069393430076513,-1.5703852499344997,0.11632551188630628
race_mother_Other Srilankans,-0.0983369849662584,0.663275513906787,-0.14825963405016956,0.8821378705968853
race_mother_Pakistan Moor,-0.5358552089735934,0.6105336640225151,-0.877683313059429,0.3801156026400133
race_mother_Sinhalese,-0.6624087792570467,0.5781283638727317,-1.1457814918813918,0.2518855750920673
race_mother_Srilankan Chetty,-0.05397757708915621,0.9307223991988546,-0.057995356226108796,0.9537523274974125
race_mother_Srilankan Moor,0.16178808168484463,0.5781709554282062,0.27982741119366816,0.7796099203913315
race_mother_Srilankan Tamil,-0.26306689642665737,0.57830101866429,-0.4548961318350549,0.6491839658921797
Gender _Male,-0.01922352820899428,0.0070082676734090745,-2.742978593973033,0.0060884654314688515
Hospital or Not_Not In Hospital,0.09821156163083478,0.030654287303717474,3.2038442341774678,0.0013560582166012665
province_mother_Eastern,0.24591283684987283,0.015633058740600437,15.730308503940783,9.375317234523226e-56
province_mother_North Central,0.018194690428175182,0.015061381971251635,1.2080359201369595,0.22703344599230924
province_mother_North Western,0.21088416626451964,0.018980922366709417,11.110322364227606,1.1175534004030797e-28
province_mother_Northern,0.18261185137632435,0.02157902958726181,8.462468186434151,2.6177716631085637e-17
province_mother_Sabaragamuwa,0.06317888191652477,0.014929812146356936,4.231726514518886,2.3190428405492525e-05
province_mother_Southern,0.07041018637239374,0.012842440950952706,5.4826171006977,4.190794192285182e-08
province_mother_Uva,0.23557856195968488,0.015326011997726702,15.371158654621183,2.555576716218142e-53
province_mother_Western,-0.14958678412951143,0.010730247300539836,-13.940665106757208,3.585829471112599e-44
Birth_Weight(grams),0.00019161471983929006,7.352204380821726e-06,26.062213441606485,9.78190742171693e-150
1/2,2.827765259034894,0.5793438304934214,4.880979325569954,1.0556030943170818e-06
2/3,0.6313909512556016,0.002749728436609665,229.6193845360556,0.0
3/4,0.5113561180243754,0.004344342771150461,117.70620896218071,0.0
4/5,0.2657872911252444,0.008977546746708524,29.6057819161667,1.2589496079524439e-192
5/6,0.26502524290910207,0.01661595927032611,15.950041679652037,2.8470684598760035e-57
