Variable,Coefficient,Std_Error,z_value,P_value
age_group_20-24,1.8086031911141631,0.03924540430169499,46.08445812433764,0.0
age_group_25-29,2.9044074217321145,0.038761403904947936,74.93039800246667,0.0
age_group_30-34,3.868941538455575,0.038876045399482737,99.5199357007401,0.0
age_group_35+,4.664427995106518,0.039380050865003506,118.44646953596825,0.0
marital_status_Unmarried,-0.0202218041227081,0.03367684669289734,-0.6004660800671996,0.5481956602486798
race_mother_Burgher,-0.5186593080480506,0.7667080943015135,-0.6764755868666805,0.49873874095750803
race_mother_Indian Moor,0.5475975627589076,0.8244077822514126,0.6642314332155485,0.5065421981373318
race_mother_Indian Tamil,-0.18075906309772116,0.7571206922086543,-0.23874537436087656,0.811303030284861
race_mother_Malay,0.2834339091619411,0.762432772950802,0.3717493780664521,0.7100794570991094
race_mother_Other Foreigners,-1.0336918639157893,0.7690532003853702,-1.3441096966995385,0.1789129169404181
race_mother_Other Srilankans,-0.3402323402845555,0.7760827344448507,-0.43839699710357727,0.6610985228920907
race_mother_Pakistan Moor,-0.9088190078711732,0.8425659356167151,-1.0786325075033614,0.28075158386637566
race_mother_Sinhalese,-0.5535300595333362,0.7569682077890091,-0.7312461128983405,0.4646288386198384
race_mother_Srilankan Chetty,-0.2544832342527624,0.9846871267457502,-0.2584407039968046,0.7960668060295768
race_mother_Srilankan Moor,0.2922909666779879,0.7570287589286814,0.3861028570323102,0.699420493998766
race_mother_Srilankan Tamil,-0.37590498671062494,0.7571099788206336,-0.4964998444429172,0.6195417970833935
Gender _Male,-0.022391163012062933,0.007155172519597382,-3.1293673144477685,0.0017518317023319902
Hospital or Not_Not In Hospital,-0.2923034470447573,0.04925171322030452,-5.934888919239712,2.9404451123678732e-09
province_mother_Eastern,0.010754752672458495,0.016117377566672395,0.6672768338378592,0.5045953210233747
province_mother_North Central,0.2277680739735886,0.015005274644234757,15.179200606041581,4.856644868109949e-52
province_mother_North Western,0.21375337318766116,0.01902805467017774,11.233590448038402,2.7890961148006674e-29
province_mother_Northern,0.038269919685878964,0.0228896541265358,1.671930885207782,0.09453795166368043
province_mother_Sabaragamuwa,-0.05384186075192052,0.013631036280029265,-3.949946258363632,7.816874239127693e-05
province_mother_Southern,0.028298754954853376,0.012576498547383607,2.250129863112066,0.024440702894428623
province_mother_Uva,0.056559567487062215,0.014753813847496638,3.8335557213675293,0.0001263041737182484
province_mother_Western,-0.16430836416753855,0.01097622954562303,-14.969472302359009,1.1623990059019316e-50
Birth_Weight(grams),0.00017932466388136098,7.457396874059106e-06,24.04654960836937,9.071276707906324e-128
1/2,2.8946891730456152,0.7581699738484313,3.817995004935798,0.00013454064900712023
2/3,0.6890551260166621,0.0027201083883235397,253.31899602770656,0.0
3/4,0.6249469846448092,0.004463789861777693,140.00367490326386,0.0
4/5,0.4519839522637841,0.010165523353034417,44.46243804347432,0.0
5/6,0.4414775212348345,0.021775530540135448,20.27401906103402,2.1809688265752187e-91
