Variable,Coefficient,Std_Error,z_value,P_value
age_group_20-24,1.924827903425869,0.04572801999622134,42.09296408602262,0.0
age_group_25-29,3.015120853251578,0.04512582311956802,66.8158638405894,0.0
age_group_30-34,3.9998932488677124,0.045289672324910726,88.31799930395272,0.0
age_group_35+,4.777876386038917,0.04575997814056624,104.41168418748278,0.0
marital_status_Unmarried,0.004167664438251304,0.0410583855351445,0.10150580408681519,0.9191489503634682
race_mother_Indian Tamil,0.25556867891237856,0.11631571440580384,2.197198205057204,0.028006293746609394
race_mother_Malay,0.4264133090582603,0.152615326895258,2.7940398761581373,0.005205405943876907
race_mother_Sinhalese,0.04524301565873569,0.11500912362398451,0.3933863178251409,0.6940341735786686
race_mother_Srilankan Moor,0.9013971376796653,0.11548351561713471,7.805418226685175,5.930454684420636e-15
race_mother_Srilankan Tamil,0.10711158220119275,0.11560871737673327,0.926500913007702,0.3541857228500125
Gender _Male,-0.03761068544863711,0.0076449552716241565,-4.919673707998921,8.668860404692522e-07
Hospital or Not_Not In Hospial,0.22575259807696002,0.11451051492890643,1.9714573654403524,0.04867158503239929
multiple_birth_Quintuplets,0.2697924396859065,1.1888901659434796,0.22692797654004024,0.8204797473503747
multiple_birth_Singleton,-1.6602601761692202,0.5767902887102662,-2.8784468266302654,0.003996386462634019
multiple_birth_Triplets,-0.390275567947577,0.6056653976832126,-0.6443748799922475,0.5193323697294063
multiple_birth_Twin,-0.9922067553095465,0.5778973496717583,-1.7169256025713096,0.08599276627291437
Birth_Weight(grams),0.00028706070388750824,8.20397964068624e-06,34.99042129064772,3.1466332200517655e-268
1/2,2.202885549752573,0.5901010774492713,3.7330647815025326,0.00018916391710788538
2/3,0.6735677147086223,0.0029110921666658184,231.37972834439122,0.0
3/4,0.7258691997457147,0.004596308902201719,157.9243726195186,0.0
4/5,0.5613026945661158,0.011515778094534156,48.74205546150045,0.0
5/6,0.5209464516376986,0.027132374826998804,19.200178936025782,3.688192932209406e-82
6/7,0.3547670645737825,0.06284334544647754,5.645260640618356,1.649311894166623e-08
7/8,0.31965947429914593,0.12821488526871844,2.493154157796807,0.01266138616146197
8/9,0.4503688370091838,0.253660276220335,1.7754803539596533,0.07581860661789801
