value,medical_category,risk_level,z_score
7740.0,Not Biologically Plausible,Error,10.05
7000.0,Not Biologically Plausible,Error,8.51
6652.0,Not Biologically Plausible,Error,7.78
6650.0,Not Biologically Plausible,Error,7.78
6620.0,Not Biologically Plausible,Error,7.71
6332.0,Not Biologically Plausible,Error,7.11
6300.0,Not Biologically Plausible,Error,7.05
6293.0,Not Biologically Plausible,Error,7.03
6250.0,Not Biologically Plausible,Error,6.94
6030.0,Not Biologically Plausible,Error,6.49
6030.0,Not Biologically Plausible,Error,6.49
6026.0,Not Biologically Plausible,Error,6.48
6026.0,Not Biologically Plausible,Error,6.48
6026.0,Not Biologically Plausible,Error,6.48
6018.0,Not Biologically Plausible,Error,6.46
6017.0,Not Biologically Plausible,Error,6.46
6013.0,Not Biologically Plausible,Error,6.45
6000.0,Not Biologically Plausible,Error,6.42
5850.0,Extreme Macrosomia,Very High,6.11
5580.0,Extreme Macrosomia,Very High,5.55
5580.0,Extreme Macrosomia,Very High,5.55
5560.0,Extreme Macrosomia,Very High,5.51
5560.0,Extreme Macrosomia,Very High,5.51
5560.0,Extreme Macrosomia,Very High,5.51
5550.0,Extreme Macrosomia,Very High,5.49
5550.0,Extreme Macrosomia,Very High,5.49
5540.0,Extreme Macrosomia,Very High,5.46
5530.0,Extreme Macrosomia,Very High,5.44
5530.0,Extreme Macrosomia,Very High,5.44
5530.0,Extreme Macrosomia,Very High,5.44
5515.0,Extreme Macrosomia,Very High,5.41
5510.0,Extreme Macrosomia,Very High,5.4
5490.0,Severe Macrosomia,High,5.36
5490.0,Severe Macrosomia,High,5.36
5480.0,Severe Macrosomia,High,5.34
5385.0,Severe Macrosomia,High,5.14
5335.0,Severe Macrosomia,High,5.04
5302.0,Severe Macrosomia,High,4.97
5300.0,Severe Macrosomia,High,4.96
5285.0,Severe Macrosomia,High,4.93
5280.0,Severe Macrosomia,High,4.92
5280.0,Severe Macrosomia,High,4.92
5260.0,Severe Macrosomia,High,4.88
5260.0,Severe Macrosomia,High,4.88
5260.0,Severe Macrosomia,High,4.88
5250.0,Severe Macrosomia,High,4.86
5250.0,Severe Macrosomia,High,4.86
5250.0,Severe Macrosomia,High,4.86
5250.0,Severe Macrosomia,High,4.86
5200.0,Severe Macrosomia,High,4.76
5200.0,Severe Macrosomia,High,4.76
5200.0,Severe Macrosomia,High,4.76
5160.0,Severe Macrosomia,High,4.67
5150.0,Severe Macrosomia,High,4.65
5130.0,Severe Macrosomia,High,4.61
5130.0,Severe Macrosomia,High,4.61
5060.0,Severe Macrosomia,High,4.46
5050.0,Severe Macrosomia,High,4.44
5030.0,Severe Macrosomia,High,4.4
5025.0,Severe Macrosomia,High,4.39
5019.0,Severe Macrosomia,High,4.38
5015.0,Severe Macrosomia,High,4.37
5010.0,Severe Macrosomia,High,4.36
5010.0,Severe Macrosomia,High,4.36
5007.0,Severe Macrosomia,High,4.35
5005.0,Severe Macrosomia,High,4.35
5004.0,Severe Macrosomia,High,4.35
5000.0,Severe Macrosomia,High,4.34
5000.0,Severe Macrosomia,High,4.34
5000.0,Severe Macrosomia,High,4.34
5000.0,Severe Macrosomia,High,4.34
5000.0,Severe Macrosomia,High,4.34
5000.0,Severe Macrosomia,High,4.34
5000.0,Severe Macrosomia,High,4.34
1496.0,Very Low Birth Weight (VLBW),Very High,2.96
1495.0,Very Low Birth Weight (VLBW),Very High,2.96
1495.0,Very Low Birth Weight (VLBW),Very High,2.96
1495.0,Very Low Birth Weight (VLBW),Very High,2.96
1495.0,Very Low Birth Weight (VLBW),Very High,2.96
1492.0,Very Low Birth Weight (VLBW),Very High,2.97
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1490.0,Very Low Birth Weight (VLBW),Very High,2.98
1485.0,Very Low Birth Weight (VLBW),Very High,2.99
1485.0,Very Low Birth Weight (VLBW),Very High,2.99
1485.0,Very Low Birth Weight (VLBW),Very High,2.99
1485.0,Very Low Birth Weight (VLBW),Very High,2.99
1485.0,Very Low Birth Weight (VLBW),Very High,2.99
1484.0,Very Low Birth Weight (VLBW),Very High,2.99
1482.0,Very Low Birth Weight (VLBW),Very High,2.99
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
1480.0,Very Low Birth Weight (VLBW),Very High,3.0
